problem_class,dataset_name,fold,best_eta,best_eta_iter,ce_te,acc_te
classification,house-votes-84,1,0.001,110,29.416977296748506,0.9318181818181818
classification,house-votes-84,2,0.001,110,13.052099025467646,0.9767441860465116
classification,house-votes-84,3,0.001,110,12.168288851880789,0.9767441860465116
classification,house-votes-84,4,0.001,110,20.157795160818775,0.9534883720930233
classification,house-votes-84,5,0.001,110,18.179149803334006,0.9662921348314607
