x_col_pos,y_row_pos,x_col_vel,y_row_vel,x_col_acc,y_row_acc,space,r,fin,q,t,ep
2,1,1,1,0,0,F,0,True,0.0,0,-1
2,1,-1,0,-1,0,F,0,True,0.0,0,-1
2,1,0,1,-1,1,F,0,True,0.0,0,-1
2,1,-1,0,1,-1,F,0,True,0.0,0,-1
2,1,-1,1,-1,0,F,0,True,0.0,0,-1
2,1,1,1,-1,-1,F,0,True,0.0,0,-1
2,1,1,0,-1,-1,F,0,True,0.0,0,-1
2,1,1,-1,1,1,F,0,True,0.0,0,-1
2,1,0,-1,0,-1,F,0,True,0.0,0,-1
2,1,1,-1,-1,0,F,0,True,0.0,0,-1
2,1,1,1,1,1,F,0,True,0.0,0,-1
2,1,-1,1,1,1,F,0,True,0.0,0,-1
2,1,1,-1,-1,1,F,0,True,0.0,0,-1
2,1,0,-1,0,1,F,0,True,0.0,0,-1
2,1,0,-1,-1,1,F,0,True,0.0,0,-1
2,1,-1,-1,1,-1,F,0,True,0.0,0,-1
2,1,0,0,-1,1,F,0,True,0.0,0,-1
2,1,-1,1,1,-1,F,0,True,0.0,0,-1
2,1,-1,1,1,0,F,0,True,0.0,0,-1
2,1,-1,-1,1,0,F,0,True,0.0,0,-1
2,1,1,0,-1,0,F,0,True,0.0,0,-1
2,1,0,0,0,1,F,0,True,0.0,0,-1
2,1,0,-1,-1,0,F,0,True,0.0,0,-1
2,1,-1,0,1,1,F,0,True,0.0,0,-1
2,1,-1,1,-1,-1,F,0,True,0.0,0,-1
2,1,1,0,1,1,F,0,True,0.0,0,-1
2,1,0,1,1,-1,F,0,True,0.0,0,-1
2,1,0,1,0,0,F,0,True,0.0,0,-1
2,1,1,1,0,-1,F,0,True,0.0,0,-1
2,1,1,0,0,0,F,0,True,0.0,0,-1
2,1,-1,-1,-1,-1,F,0,True,0.0,0,-1
2,1,0,-1,1,-1,F,0,True,0.0,0,-1
2,1,-1,-1,-1,0,F,0,True,0.0,0,-1
2,1,1,0,-1,1,F,0,True,0.0,0,-1
2,1,-1,1,0,-1,F,0,True,0.0,0,-1
2,1,0,0,1,-1,F,0,True,0.0,0,-1
2,1,0,0,-1,0,F,0,True,0.0,0,-1
2,1,-1,0,0,0,F,0,True,0.0,0,-1
2,1,1,1,-1,0,F,0,True,0.0,0,-1
2,1,-1,0,0,-1,F,0,True,0.0,0,-1
2,1,-1,0,1,0,F,0,True,0.0,0,-1
2,1,1,-1,1,-1,F,0,True,0.0,0,-1
2,1,0,-1,1,1,F,0,True,0.0,0,-1
2,1,1,-1,0,-1,F,0,True,0.0,0,-1
2,1,1,-1,0,1,F,0,True,0.0,0,-1
2,1,1,-1,1,0,F,0,True,0.0,0,-1
2,1,1,1,1,-1,F,0,True,0.0,0,-1
2,1,0,1,0,-1,F,0,True,0.0,0,-1
2,1,1,1,0,1,F,0,True,0.0,0,-1
2,1,-1,-1,0,1,F,0,True,0.0,0,-1
2,1,0,1,1,0,F,0,True,0.0,0,-1
2,1,0,-1,0,0,F,0,True,0.0,0,-1
2,1,1,0,0,1,F,0,True,0.0,0,-1
2,1,0,0,0,0,F,0,True,0.0,0,-1
2,1,1,0,1,-1,F,0,True,0.0,0,-1
2,1,0,0,1,0,F,0,True,0.0,0,-1
2,1,0,0,1,1,F,0,True,0.0,0,-1
2,1,1,0,1,0,F,0,True,0.0,0,-1
2,1,1,1,1,0,F,0,True,0.0,0,-1
2,1,0,1,0,1,F,0,True,0.0,0,-1
2,1,0,1,-1,-1,F,0,True,0.0,0,-1
2,1,1,-1,-1,-1,F,0,True,0.0,0,-1
2,1,0,0,-1,-1,F,0,True,0.0,0,-1
2,1,0,1,-1,0,F,0,True,0.0,0,-1
2,1,-1,0,-1,-1,F,0,True,0.0,0,-1
2,1,-1,1,-1,1,F,0,True,0.0,0,-1
2,1,1,1,-1,1,F,0,True,0.0,0,-1
2,1,-1,-1,-1,1,F,0,True,0.0,0,-1
2,1,-1,0,-1,1,F,0,True,0.0,0,-1
2,1,1,-1,0,0,F,0,True,0.0,0,-1
2,1,-1,-1,0,-1,F,0,True,0.0,0,-1
2,1,-1,-1,1,1,F,0,True,0.0,0,-1
2,1,0,-1,1,0,F,0,True,0.0,0,-1
2,1,0,1,1,1,F,0,True,0.0,0,-1
2,1,-1,-1,0,0,F,0,True,0.0,0,-1
2,1,-1,0,0,1,F,0,True,0.0,0,-1
2,1,-1,1,0,1,F,0,True,0.0,0,-1
2,1,1,0,0,-1,F,0,True,0.0,0,-1
2,1,-1,1,0,0,F,0,True,0.0,0,-1
2,1,0,0,0,-1,F,0,True,0.0,0,-1
2,1,0,-1,-1,-1,F,0,True,0.0,0,-1
1,1,0,0,1,0,.,-1,False,-0.07161245825019268,85,350
1,2,0,-1,1,-1,.,-1,False,-0.1586341069484452,20,337
1,1,1,1,0,-1,.,-1,False,-0.22254786004677607,30,349
1,1,0,-1,1,1,.,-1,False,-0.28143431837878324,103,351
1,1,1,-1,0,1,.,-1,False,-0.34749323341576266,73,348
1,1,1,1,1,-1,.,-1,False,-0.3501923046224058,18,322
1,1,1,-1,1,1,.,-1,False,-0.3930188590819279,66,352
1,2,1,0,1,-1,.,-1,False,-0.43326984861261897,10,255
1,2,0,-1,1,0,.,-1,False,-0.4646489916654446,19,345
1,2,0,0,1,-1,.,-1,False,-0.5192457388352093,21,344
1,2,1,0,0,-1,.,-1,False,-0.6903645468602714,10,329
1,2,1,1,-1,-1,.,-1,False,-1.0,0,-1
2,3,-1,0,-1,1,S,-1,False,-1.0,0,-1
1,1,0,1,0,-1,.,-1,False,-1.0,0,-1
1,3,1,0,-1,-1,.,-1,False,-1.0,0,-1
1,1,1,0,-1,0,.,-1,False,-1.0,0,-1
2,3,-1,0,0,0,S,-1,False,-1.0,0,-1
2,3,-1,-1,1,1,S,-1,False,-1.0,0,-1
1,2,1,-1,0,0,.,-1,False,-1.0,0,-1
1,1,1,0,-1,-1,.,-1,False,-1.0,0,-1
2,3,-1,0,0,1,S,-1,False,-1.0,0,-1
