fold,run,eta,h1,h2,mse_te
1,0,0.001,10.0,10.0,1.9329028097021186
2,0,0.001,10.0,10.0,2.097519446660141
3,0,0.001,10.0,10.0,2.0234150094837324
4,0,0.001,10.0,10.0,1.980941870235161
5,0,0.001,10.0,10.0,
