space,y_row_pos,x_col_pos,y_row_vel,x_col_vel,r,fin,prev_val,t,val,best_x_col_a,best_y_row_a
F,1,2,5,4,0,True,0.0,10,0.0,-1,-1
F,1,2,5,5,0,True,0.0,10,0.0,-1,-1
.,2,1,-5,-5,-1,False,-3.230353963380506,10,-3.2304755576255015,1,-1
.,2,1,-5,-4,-1,False,-2.2902942280791807,10,-2.290301567372924,1,-1
.,2,1,-5,-3,-1,False,-1.2195119532203775,10,-1.2195121515796679,1,-1
.,2,1,-5,-2,-1,False,-1.0,10,-1.0,0,-1
.,2,1,-5,-1,-1,False,-1.0,10,-1.0,-1,-1
.,2,1,-5,0,-1,False,-1.0,10,-1.0,-1,-1
.,2,1,-5,1,-1,False,-1.0,10,-1.0,-1,-1
.,2,1,-5,2,-1,False,-1.0,10,-1.0,-1,-1
.,2,1,-5,3,-1,False,-1.0,10,-1.0,-1,-1
.,2,1,-5,4,-1,False,-1.0,10,-1.0,-1,-1
.,2,1,-5,5,-1,False,-1.0,10,-1.0,-1,-1
.,2,1,-4,-5,-1,False,-3.230353963380506,10,-3.2304755576255015,1,-1
.,2,1,-4,-4,-1,False,-2.2902942280791807,10,-2.290301567372924,1,-1
.,2,1,-4,-3,-1,False,-1.2195119532203775,10,-1.2195121515796679,1,-1
.,2,1,-4,-2,-1,False,-1.2195119532203775,10,-1.2195121515796679,0,-1
.,2,1,-4,-1,-1,False,-1.0,10,-1.0,-1,-1
.,2,1,-4,0,-1,False,-1.0,10,-1.0,-1,-1
.,2,1,-4,1,-1,False,-1.0,10,-1.0,-1,-1
.,2,1,-4,2,-1,False,-1.0,10,-1.0,-1,-1
.,2,1,-4,3,-1,False,-1.0,10,-1.0,-1,-1
.,2,1,-4,4,-1,False,-1.0,10,-1.0,-1,-1
.,2,1,-4,5,-1,False,-1.0,10,-1.0,-1,-1
.,2,1,-3,-5,-1,False,-3.230353963380506,10,-3.2304755576255015,1,-1
.,2,1,-3,-4,-1,False,-2.2902942280791807,10,-2.290301567372924,1,-1
.,2,1,-3,-3,-1,False,-2.2902942280791807,10,-2.290301567372924,0,-1
.,2,1,-3,-2,-1,False,-1.2195119532203775,10,-1.2195121515796679,1,-1
.,2,1,-3,-1,-1,False,-1.0,10,-1.0,0,-1
.,2,1,-3,0,-1,False,-1.0,10,-1.0,-1,-1
.,2,1,-3,1,-1,False,-1.0,10,-1.0,-1,-1
.,2,1,-3,2,-1,False,-1.0,10,-1.0,-1,-1
.,2,1,-3,3,-1,False,-1.0,10,-1.0,-1,-1
.,2,1,-3,4,-1,False,-1.0,10,-1.0,-1,-1
.,2,1,-3,5,-1,False,-1.0,10,-1.0,-1,-1
.,2,1,-2,-5,-1,False,-3.230353963380506,10,-3.2304755576255015,1,-1
.,2,1,-2,-4,-1,False,-3.230353963380506,10,-3.2304755576255015,0,-1
.,2,1,-2,-3,-1,False,-2.2902942280791807,10,-2.290301567372924,1,-1
.,2,1,-2,-2,-1,False,-1.2195119532203775,10,-1.2195121515796679,1,-1
.,2,1,-2,-1,-1,False,-1.2195119532203775,10,-1.2195121515796679,0,-1
.,2,1,-2,0,-1,False,-1.0,10,-1.0,-1,-1
.,2,1,-2,1,-1,False,-1.0,10,-1.0,-1,-1
.,2,1,-2,2,-1,False,-1.0,10,-1.0,-1,-1
.,2,1,-2,3,-1,False,-1.0,10,-1.0,-1,-1
.,2,1,-2,4,-1,False,-1.0,10,-1.0,-1,-1
.,2,1,-2,5,-1,False,-1.2195119532203775,10,-1.2195121515796679,-1,-1
.,2,1,-1,-5,-1,False,-4.054471804687744,10,-4.055659778477759,-1,-1
.,2,1,-1,-4,-1,False,-3.230353963380506,10,-3.2304755576255015,1,-1
.,2,1,-1,-3,-1,False,-2.2902942280791807,10,-2.290301567372924,1,-1
.,2,1,-1,-2,-1,False,-2.2902942280791807,10,-2.290301567372924,0,-1
.,2,1,-1,-1,-1,False,-1.2195119532203775,10,-1.2195121515796679,1,-1
.,2,1,-1,0,-1,False,-1.0,10,-1.0,0,-1
.,2,1,-1,1,-1,False,-1.0,10,-1.0,-1,-1
.,2,1,-1,2,-1,False,-1.0,10,-1.0,-1,-1
.,2,1,-1,3,-1,False,-1.2195119532203775,10,-1.2195121515796679,-1,-1
.,2,1,-1,4,-1,False,-1.2195119532203775,10,-1.2195121515796679,-1,-1
.,2,1,-1,5,-1,False,-1.2195119532203775,10,-1.2195121515796679,-1,-1
.,2,1,0,-5,-1,False,-4.054471804687744,10,-4.055659778477759,1,-1
.,2,1,0,-4,-1,False,-3.230353963380506,10,-3.2304755576255015,1,-1
.,2,1,0,-3,-1,False,-3.230353963380506,10,-3.2304755576255015,0,-1
.,2,1,0,-2,-1,False,-2.2902942280791807,10,-2.290301567372924,1,-1
.,2,1,0,-1,-1,False,-1.2195119532203775,10,-1.2195121515796679,1,-1
.,2,1,0,0,-1,False,-1.2195119532203775,10,-1.2195121515796679,0,-1
.,2,1,0,1,-1,False,-1.2195119532203775,10,-1.2195121515796679,-1,-1
.,2,1,0,2,-1,False,-1.2195119532203775,10,-1.2195121515796679,-1,-1
.,2,1,0,3,-1,False,-1.2195119532203775,10,-1.2195121515796679,-1,-1
.,2,1,0,4,-1,False,-2.2902942280791807,10,-2.290301567372924,-1,-1
.,2,1,0,5,-1,False,-2.2902942280791807,10,-2.290301567372924,-1,-1
.,2,1,1,-5,-1,False,-4.054471804687744,10,-4.055659778477759,1,-1
.,2,1,1,-4,-1,False,-4.054471804687744,10,-4.055659778477759,0,-1
.,2,1,1,-3,-1,False,-3.230353963380506,10,-3.2304755576255015,1,-1
.,2,1,1,-2,-1,False,-2.2902942280791807,10,-2.290301567372924,1,-1
.,2,1,1,-1,-1,False,-2.2902942280791807,10,-2.290301567372924,0,-1
.,2,1,1,0,-1,False,-2.436822144092339,10,-2.436927869594105,-1,-1
.,2,1,1,1,-1,False,-2.4376327778342657,10,-2.437760719576553,-1,-1
.,2,1,1,2,-1,False,-2.2902942280791807,10,-2.290301567372924,-1,-1
.,2,1,1,3,-1,False,-2.2902942280791807,10,-2.290301567372924,-1,-1
.,2,1,1,4,-1,False,-2.2902942280791807,10,-2.290301567372924,-1,-1
.,2,1,1,5,-1,False,-3.230353963380506,10,-3.2304755576255015,-1,-1
.,2,1,2,-5,-1,False,-4.770284693067137,10,-4.777870944127261,-1,-1
.,2,1,2,-4,-1,False,-4.054471804687744,10,-4.055659778477759,1,-1
.,2,1,2,-3,-1,False,-3.230353963380506,10,-3.2304755576255015,1,-1
.,2,1,2,-2,-1,False,-3.230353963380506,10,-3.2304755576255015,0,-1
.,2,1,2,-1,-1,False,-3.230353963380506,10,-3.2304755576255015,-1,-1
.,2,1,2,0,-1,False,-3.373534912024346,10,-3.374113526074349,-1,-1
.,2,1,2,1,-1,False,-3.46402946173888,10,-3.465496725409732,1,-1
.,2,1,2,2,-1,False,-3.464703393550106,10,-3.4662976071667932,0,-1
.,2,1,2,3,-1,False,-3.230353963380506,10,-3.2304755576255015,-1,-1
.,2,1,2,4,-1,False,-3.230353963380506,10,-3.2304755576255015,-1,-1
.,2,1,2,5,-1,False,-3.230353963380506,10,-3.2304755576255015,-1,-1
.,2,1,3,-5,-1,False,-4.770284693067137,10,-4.777870944127261,1,-1
.,2,1,3,-4,-1,False,-4.054471804687744,10,-4.055659778477759,1,-1
.,2,1,3,-3,-1,False,-4.054471804687744,10,-4.055659778477759,0,-1
.,2,1,3,-2,-1,False,-4.054471804687744,10,-4.055659778477759,-1,-1
.,2,1,3,-1,-1,False,-4.054471804687744,10,-4.055659778477759,-1,-1
.,2,1,3,0,-1,False,-4.250670904638438,10,-4.259221975286913,-1,-1
.,2,1,3,1,-1,False,-4.823394699213798,10,-4.833773849082304,-1,-1
.,2,1,3,2,-1,False,-4.250670904638438,10,-4.259221975286913,1,-1
.,2,1,3,3,-1,False,-4.250953015629184,10,-4.25975798616933,0,-1
.,2,1,3,4,-1,False,-4.350632232359296,10,-4.408998461753628,-1,-1
.,2,1,3,5,-1,False,-4.054471804687744,10,-4.055659778477759,-1,-1
.,2,1,4,-5,-1,False,-4.770284693067137,10,-4.777870944127261,1,-1
.,2,1,4,-4,-1,False,-4.770284693067137,10,-4.777870944127261,0,-1
.,2,1,4,-3,-1,False,-4.770284693067137,10,-4.777870944127261,-1,-1
.,2,1,4,-2,-1,False,-4.770284693067137,10,-4.777870944127261,-1,-1
.,2,1,4,-1,-1,False,-4.770284693067137,10,-4.777870944127261,-1,-1
.,2,1,4,0,-1,False,-4.770284693067137,10,-4.777870944127261,-1,-1
.,2,1,4,1,-1,False,-5.367592218131431,10,-5.400771578271996,-1,0
.,2,1,4,2,-1,False,-5.698867144004993,10,-5.759264572532692,-1,-1
.,2,1,4,3,-1,False,-5.367592218131431,10,-5.400771578271996,1,0
.,2,1,4,4,-1,False,-4.770284693067137,10,-4.777870944127261,1,-1
.,2,1,4,5,-1,False,-4.770284693067137,10,-4.777870944127261,0,-1
.,2,1,5,-5,-1,False,-5.367592218131431,10,-5.400771578271996,-1,-1
.,2,1,5,-4,-1,False,-5.367592218131431,10,-5.400771578271996,-1,-1
.,2,1,5,-3,-1,False,-5.367592218131431,10,-5.400771578271996,-1,-1
.,2,1,5,-2,-1,False,-5.367592218131431,10,-5.400771578271996,-1,-1
